IDpole	OccurDate	Payment	IDclaim	Guarantee
90129280.102a	37893	148	205144	Windscreen
90148224.100a	37878	323	204380	Windscreen
90171938.100a	37824	235	202794	Windscreen
90111686.101a	37973	225	209024	TPL
90182178.100a	37823	581	201748	Theft
90158368.100a	38040	2140	1206905	TPL
90125989.102a	37976	5324	209205	Damage
90191156.100a	38233	120	208217	Windscreen
90178166.100a	37885	897	204602	TPL
90111848.100a	37759	1420	12578	TPL
90172399.100b	37788	2060	200440	Theft
1003134.100a	38181	229	8386	Windscreen
90160195.100a	37685	897	9431	TPL
90147614.101b	37683	1121	9357	TPL
90153795.100b	38156	0	1203177	TPL
90189823.101a	38283	10212	203849	Damage
90185908.100a	37895	973	205044	Damage
90127973.100b	38060	72	1206472	Windscreen
90151285.100a	37928	267	207541	Windscreen
90136865.100b	37879	234	204891	Windscreen
90190728.100a	38244	1121	11215	TPL
90193064.100b	37908	459	206123	Damage
10200411.101a	37760	204	13227	Windscreen
90146101.100a	38159	5109	1201626	TPL
90139179.101b	37894	365	205017	TPL
90153433.100a	37786	501	200485	TPL
90149677.100a	38193	1004	207261	Theft
90168253.100a	38321	1430	1208074	Damage
90182157.102a	38288	237	1206378	Windscreen
90168374.100a	37963	310	208600	Windscreen
90183973.100a	38292	331	206327	TPL
90181916.100a	38019	407	1207896	TPL
50100003.101a	37775	241	200433	Windscreen
90155085.100a	38058	124	1206038	Windscreen
90171276.100a	38270	214	1208875	TPL
70201514.10b	38236	319	204366	Windscreen
1001319.101a	38261	505	209413	TPL
90128174.101d	37868	1644	203937	TPL
90109686.100a	38215	148	1205851	TPL
90164563.100a	38253	68	200253	Other
90158465.101b	38350	452	1209071	Windscreen
90115870.101a	37920	181	206546	Windscreen
90128154.101a	37801	73	201155	Windscreen
1003378.100b	38093	193	1204909	Windscreen
90154393.100b	37889	195	205020	Windscreen
90144409.100a	38341	145	9177	Windscreen
90158905.102a	38006	2010	1208713	Damage
90180626.100a	37937	2102	206995	TPL
90120556.101b	37920	128	206727	Windscreen
90168845.100a	37755	654	12592	TPL
90154248.100a	38305	568	200518	Damage
90146103.100a	37975	95	209504	Windscreen
90133279.100b	38221	85	9279	TPL
90134354.102a	38251	76	1202992	Theft
90104530.101c	38029	61	1207300	Windscreen
1003373.101a	38027	5201	1207475	TPL
189.101b	37944	953	207146	TPL
90152357.100a	37703	1332	10371	TPL
90150359.100a	38097	32	1204690	TPL
90110650.101d	37813	1593	201453	TPL
90175920.100a	38122	0	1203336	Windscreen
90158802.100a	37718	896	10681	TPL
90193912.100a	37854	816	203199	Theft
90132192.100a	37869	897	203595	TPL
90117997.101a	38139	210	1202553	Windscreen
90147537.100a	37836	476	202388	Windscreen
90194768.100b	37904	0	209821	Damage
90147624.101a	38248	915	1203654	TPL
90158367.100b	37698	2078	9950	Theft
90126764.101b	37706	198	10339	Windscreen
90132966.100a	38218	211	200450	Windscreen
90113443.101b	38017	6633	1207887	TPL
1002626.100b	37766	306	13001	TPL
90151507.100a	37809	872	201905	TPL
90191851.100a	37809	68	201191	TPL
90152594.102a	38037	0	1206943	TPL
90139016.100c	37794	317	201043	Windscreen
90141480.100a	38348	132	13183	Windscreen
90111260.100a	38338	412	1209144	Windscreen
90111349.10a	37864	108	203845	Damage
90109674.102a	37655	645	8095	TPL
40200078.101b	37788	1019	200384	TPL
90116364.101a	37815	238	201462	Windscreen
90145279.100b	37739	2004	11735	TPL
90145650.100b	37625	837	7582	Other
90134866.101e	37833	287	202256	Windscreen
90176478.100a	37823	668	202079	Damage
90152644.100a	37871	287	203993	Windscreen
90180794.100b	37840	554	202709	TPL
90133366.101b	38304	89	203400	Windscreen
90138471.100a	38015	199	1208571	TPL
90167547.100c	37704	447	10146	Windscreen
90160212.100a	37871	897	204367	TPL
90106707.101a	38290	284	1207364	Windscreen
90154802.100b	37869	19	204130	Damage
90148612.100a	38045	915	1206779	TPL
90107138.101a	38001	2290	1209183	TPL
90119079.101c	38050	1215	1206471	TPL
90119368.101a	37774	876	200646	Damage
90128267.101b	37637	3253	7337	TPL
90153450.100a	37966	565	208758	TPL
90126860.101a	37677	27	9169	TPL
90149863.100a	38022	0	1207673	Damage
90181594.100a	38031	322	1207636	Damage
90155824.100b	38296	2835	205127	TPL
90187285.100c	37919	564	206160	TPL
90149284.100a	37863	98	203987	Windscreen
90166908.100b	38328	267	208180	Windscreen
80100186.101a	38038	295	1207761	Windscreen
90128704.101b	37700	97	10328	Windscreen
90127287.101b	37860	487	203691	TPL
90146161.100a	37682	119	9074	Windscreen
90129374.101a	37665	485	9024	Windscreen
90107138.100b	38010	271	1208699	Windscreen
90181589.101a	38013	65	1208900	Windscreen
60100379.101a	38095	1515	1204441	TPL
90156460.100a	38025	598	1207802	Theft
90171827.100a	37950	204	207743	TPL
90159193.100a	37870	320	204151	Windscreen
90165773.101b	38060	3089	1205565	TPL
90193154.100a	37830	654	202318	TPL
90115870.101a	38054	185	1206546	Windscreen
90148418.101a	38039	475	1207222	TPL
90164569.100a	37961	164	209030	Windscreen
90156067.100a	37937	487	207023	TPL
90154625.100a	38116	0	1205803	Other
90151400.100a	38123	452	1203121	Other
90113630.101a	38338	475	200365	Windscreen
90164976.100a	37965	331	208839	Windscreen
90128662.102a	37683	888	9170	TPL
90109497.101c	37819	816	201743	Theft
90132912.100d	37940	213	207103	Windscreen
90112238.101a	37860	389	203580	Windscreen
90171079.101a	37673	443	9192	TPL
90132743.101a	37648	481	7726	TPL
90181834.100a	38085	915	1204934	TPL
90159131.100b	37691	1021	9725	TPL
90176405.100a	37797	275	201250	Windscreen
90156666.100b	37732	231	11635	Windscreen
90122962.101a	37944	297	207304	TPL
90152939.100a	37648	732	7863	TPL
90132157.100a	38258	211	11465	Windscreen
90157490.100b	37977	1737	209195	TPL
90154018.100a	37877	564	204307	Damage
90186103.101a	38098	0	1204074	TPL
70205919.101c	37975	1313	209053	Damage
90179906.100a	38188	897	204654	TPL
90104694.100b	38035	268	1206966	Windscreen
90189836.100a	38170	213	205486	Windscreen
90151205.100a	37781	241	200934	Windscreen
90145950.100b	37739	1402	11670	Other
90105765.10b	37928	897	206862	TPL
90172853.100a	37648	257	7871	Windscreen
90167614.100a	38170	915	1201775	TPL
30100061.101b	37742	115	11880	TPL
90141326.101a	38269	3416	11521	TPL
90109144.10a	38143	255	1202431	Windscreen
90169939.100a	38152	82	1202351	Damage
90164594.100a	38187	3130	8682	TPL
1001319.101a	38010	358	1208632	Windscreen
90104512.100b	37744	1830	11994	TPL
90145714.100a	37753	522	12481	Windscreen
90183899.100a	37758	0	12585	TPL
90168490.101b	38129	193	1203031	Windscreen
90111273.101a	38110	123	1204354	Windscreen
90108763.10a	38236	240	208397	Windscreen
90118064.104a	38316	4198	8546	Damage
90161057.100a	38288	386	202214	Windscreen
90172110.102b	38052	620	1208063	Windscreen
90134479.100a	38205	301	1206807	Windscreen
90110914.102a	38082	777	1205366	TPL
90128406.101a	38324	897	209180	TPL
90131259.101a	38088	427	1204559	TPL
1003287.100a	38197	716	10004	TPL
90155997.100a	37623	24728	6930	Damage
90134070.100a	38226	2117	200447	TPL
90108307.100a	37638	2397	7345	TPL
90171848.100c	37907	247	205505	Windscreen
90106786.100a	37623	585	6901	Theft
90168088.100a	38341	1269	1202035	TPL
90148378.100a	37658	228	8103	Windscreen
90174312.101b	37864	277	203515	Windscreen
90168694.101a	38201	3161	206292	TPL
90145414.101a	37992	915	1209459	TPL
90164807.100a	37624	897	7138	TPL
90148809.100a	37668	346	8556	TPL
90156952.100a	38205	174	200869	Windscreen
90108868.100b	38043	523	1206867	TPL
90177889.100c	38256	915	1205257	TPL
90126860.101b	38269	476	9116	Windscreen
90171968.100a	37885	452	205345	Windscreen
90160662.100a	37866	96	203764	TPL
90149065.100b	37924	192	207203	Windscreen
90187195.100c	37649	314	9593	Windscreen
24579434.100a	38114	715	1203698	TPL
90152651.100b	37902	63	205275	TPL
90192965.101a	38226	384	205355	TPL
90128405.101b	37856	1124	203162	TPL
90190436.101a	37762	1235	12930	TPL
90128967.100a	38212	897	209063	TPL
90134032.100a	38135	246	1202552	Windscreen
90155352.100a	37691	61	13599	Windscreen
90127255.101a	38156	956	1201538	TPL
90126992.103a	38090	0	1204526	Windscreen
1003491.100a	38087	915	1204933	TPL
90187795.100a	38061	1929	1206208	Damage
1001941.100a	37781	3072	200131	TPL
90190426.100c	38334	528	1203545	Windscreen
90169833.100b	37716	385	11286	Windscreen
90177926.101a	38203	858	1203270	TPL
90170305.100a	38314	1955	203895	Damage
90132730.100a	38153	162	1202052	Windscreen
90189819.100b	37877	195	204399	TPL
90101729.101a	38251	425	1207350	Windscreen
90145111.100b	37902	225	205334	Windscreen
90115870.101a	38010	199	1208635	TPL
70200385.102a	37738	3432	11607	TPL
90132794.100a	38308	915	1206485	TPL
90134280.101a	37752	222	12817	Windscreen
90134233.100a	37947	0	207447	TPL
90189478.100a	37632	262	7390	Windscreen
90133534.100a	37848	127	208974	TPL
90115983.101b	37814	126	201831	Windscreen
90104512.100b	38256	604	204537	Windscreen
90161623.101b	37676	284	9122	Windscreen
90191998.100a	38141	330	1202435	TPL
90110381.101a	38083	1415	1204708	TPL
90188804.100b	38173	1752	207780	Other
1003114.100b	38343	461	7563	Damage
90182951.100a	37975	897	209125	TPL
90190426.100c	37898	368	205100	Windscreen
90179654.101b	37891	2092	204869	Damage
90117997.101b	37835	206	202553	Windscreen
90194044.100c	38156	566	1201821	Windscreen
90106370.100c	38299	845	203275	Damage
90108689.101a	37963	524	208917	TPL
90132211.100a	37665	1402	8521	TPL
90183973.101a	38195	910	202675	Windscreen
1002009.100a	38086	428	1204634	Windscreen
90145659.100c	37907	897	205354	TPL
90111686.101a	38000	230	1209024	TPL
90147388.100b	37948	2195	207860	TPL
90155150.100b	38159	109	1201554	Windscreen
90128181.101b	37845	1207	202948	TPL
90168014.101a	37649	110	8424	Windscreen
90145520.101a	37684	238	9936	Windscreen
90185490.100b	38082	290	1205554	Windscreen
90141068.100a	38188	63	10263	Damage
90193038.100b	37901	258	207307	Windscreen
90164502.100a	38276	351	1203211	Windscreen
90118474.101a	37937	2644	207210	Damage
90159874.100a	37765	156	12988	Damage
90126767.100a	38274	1206	206126	TPL
90189478.100a	37796	3371	200868	Damage
90157708.101b	38202	1335	1202613	Damage
90149911.100a	37825	168	202755	Windscreen
1002330.100a	38143	109	1202268	Windscreen
90170934.100c	38064	96	1206432	Windscreen
60200217.10a	37744	85	12353	Damage
90145355.101c	38114	733	1203767	Damage
90103747.10a	38024	944	1207796	TPL
90125061.103a	38249	1511	1201827	Fire
90157646.100a	37870	897	204023	TPL
90157995.100a	37924	897	206863	TPL
90151846.100a	38253	245	1208397	Windscreen
1002901.101c	38338	511	205769	Theft
90180215.100a	38320	1121	7296	TPL
90103631.100a	37831	132	202534	Windscreen
90171064.100a	38080	1430	1209382	Damage
90124889.101b	38329	2818	9731	Fire
80100017.10d	37824	302	201795	Windscreen
90154802.100b	38261	1794	206790	TPL
90138966.100a	38245	184	13746	Windscreen
90149794.100a	37666	6768	8355	TPL
90112464.101a	37952	897	207951	TPL
90148234.101a	37838	750	202586	TPL
90180683.100a	38158	664	1201566	TPL
90174042.100b	37685	504	9353	TPL
90146339.100a	37681	68	9504	TPL
90166072.100c	38243	92595	202327	TPL
90145989.101a	37650	164	8143	TPL
90169880.100b	37670	666	9363	TPL
90132880.100b	38161	696	1201397	Theft
90154151.101a	37685	57	9513	Other
90161623.100a	38209	219	1205321	Windscreen
90141597.100a	38157	163	1202119	Windscreen
90158484.100b	37838	632	202913	TPL
90155203.100b	38177	179	1202491	TPL
90167848.100a	38073	537	1205575	Damage
90168064.100a	38257	65	1201939	Fire
90116450.101a	37979	221	209230	TPL
90190826.100a	38135	332	1202503	Damage
90111200.101a	37794	266	201223	Windscreen
90127914.102a	38095	124	1204483	Windscreen
90172778.100b	38342	0	206238	Damage
90145414.101a	37981	897	209459	TPL
90166282.100a	38063	571	1205852	TPL
90146698.100a	38181	615	1202898	TPL
90152464.101a	37857	340	203023	Windscreen
90156481.100a	37799	1493	201173	Theft
853.10b	38007	230	1209576	TPL
90179411.100a	38336	100	1207269	Windscreen
90111238.10a	38138	271	1203182	Windscreen
90110136.102a	38247	2068	201317	Damage
90157096.100a	37905	1576	205721	Theft
90151874.100a	38151	67	1203017	Windscreen
90182364.100a	38087	638	1205002	Damage
90111381.101b	37673	77	8859	Windscreen
90138204.100a	37843	770	202719	Windscreen
90194842.100b	38107	285	1204245	Windscreen
90148128.100b	38338	205	205942	Windscreen
90132870.100e	38326	1794	207361	TPL
90106074.101a	38321	230	204969	Windscreen
90154312.101a	38076	215	1205453	Windscreen
90128820.100a	37829	62	202094	TPL
90131006.100a	38312	136	200336	Windscreen
90166995.100a	38028	199	1207599	Windscreen
90146987.101c	37896	349	205306	Windscreen
90152945.101b	37907	402	205456	Windscreen
90178807.100b	37891	278	204831	TPL
90146455.100a	37967	897	208873	TPL
90111490.101a	37744	125	11857	TPL
90100049.101b	38041	2680	1206733	Damage
90149545.100a	38238	3618	202180	TPL
90180913.100a	37826	1188	202051	TPL
90116364.101a	38159	243	1201462	Windscreen
90184228.101a	37763	512	13263	Theft
90100955.10a	37885	186	204514	Windscreen
90185196.100a	38214	897	202699	TPL
90180537.100b	38163	915	1201627	TPL
90155023.100b	37972	28	209624	TPL
90149863.100a	37951	0	207673	Damage
90167933.100b	38136	314	1202641	Windscreen
90186886.100a	38304	2334	206174	Damage
90165017.100a	37909	435	206342	Windscreen
90132340.100a	37867	208	204301	Windscreen
90144804.101a	37759	897	12864	TPL
90129663.100c	37718	1226	10740	TPL
90177866.100a	38152	148	1201824	Windscreen
90150228.100a	37703	0	9983	Damage
90146541.100a	37776	358	200260	Damage
90168262.100a	38322	1093	205160	TPL
90190072.100a	37840	374	203147	TPL
90120249.100a	38049	314	1208337	Windscreen
90175897.100a	37654	494	11379	Windscreen
90168096.100a	38184	404	209630	Windscreen
90141327.100b	37861	295	203309	Windscreen
90194789.100c	37765	241	13192	Windscreen
90187834.100a	37676	0	9422	TPL
90144724.100b	38072	208	1205454	Windscreen
90170357.100c	38268	92	1208360	Windscreen
90156456.100a	37664	171	9097	Windscreen
90129372.100a	38336	0	9303	TPL
90180738.100a	38192	267	207423	Windscreen
90148115.100a	37751	775	12485	Windscreen
90129390.101a	37848	0	202996	Other
90164481.100b	37841	85	202721	TPL
90125997.102b	37712	0	10643	TPL
90173829.100a	37947	1463	207625	TPL
90155892.101a	37743	3947	11956	TPL
90134889.100b	37984	897	209675	TPL
90124768.101b	38015	915	1208601	TPL
90106374.100a	38188	375	1209291	Windscreen
90159774.100a	38152	1611	1201841	TPL
90104660.101b	38033	1229	1207217	TPL
90120370.103c	38097	355	1205463	Windscreen
90179910.101c	38275	1564	1204334	TPL
90184767.100a	38187	334	12427	Windscreen
90173008.100a	38181	486	208629	Windscreen
90175863.100a	38300	210	13315	Windscreen
90151285.100a	37734	1681	11432	Damage
1002364.100a	37924	608	206309	TPL
90102133.102b	37668	256	10533	Windscreen
90152219.100a	38041	612	1206851	Theft
80100176.102b	37968	1270	208655	Theft
90111450.102a	38145	280	1202821	Windscreen
90132651.100a	38296	48	203561	TPL
90179690.101a	38227	445	11061	Windscreen
90147593.100a	37703	290	10025	TPL
90187938.100a	37878	1205	204205	TPL
90123583.101a	37629	567	7690	Windscreen
90176212.100b	38135	1311	1202828	Damage
90111318.102a	37817	28	202060	Windscreen
90106764.10a	38310	343	1207620	Windscreen
90149724.101a	38144	367	1202234	TPL
90180784.100b	37963	1489	209072	Theft
90180011.101b	38241	261	8392	Windscreen
90179308.101a	37655	576	8008	Theft
90150999.100b	38232	316	204962	Windscreen
90135215.101b	37710	897	10567	TPL
90148988.101d	37641	323	7668	Windscreen
90134628.100a	37855	1121	203494	TPL
90133561.100a	38323	198	207647	Windscreen
90150426.100b	38054	92	1206311	Windscreen
90158938.101a	38294	0	8149	Damage
90126992.103a	37884	0	204526	Windscreen
90144624.101a	37684	704	9397	TPL
90160238.100a	38268	39	201636	Windscreen
90104539.103a	37712	0	10500	TPL
90104464.101b	37922	506	207736	TPL
90180784.100a	38010	1519	1209072	Theft
90150417.100a	38257	626	1201535	Theft
90173156.100a	37851	1103	203084	TPL
90103986.101c	37902	897	205691	TPL
90149915.100c	37793	262	200921	Windscreen
90172141.100b	37947	2294	207703	TPL
90168642.100b	37772	159	13451	Windscreen
90111009.102a	37923	476	206406	TPL
70201516.10a	37895	276	205783	Windscreen
90149408.100a	38338	1157	1207767	Windscreen
90155638.100b	38211	0	200893	TPL
70201526.100a	37892	421	205114	Windscreen
90156364.100a	38316	461	1201911	Theft
90194838.100a	38257	82	1209318	Windscreen
90156690.100b	37882	33	204657	Theft
90135304.100c	37804	5295	201104	TPL
90114344.101a	38306	969	204940	Fire
90129468.100a	37989	230	1209591	TPL
90172389.101a	38232	1896	10726	Damage
90132476.100a	37709	0	10610	TPL
90163193.100a	37849	205	203056	Windscreen
90185970.100b	37803	423	201225	TPL
90165730.100b	38330	5334	8136	Fire
90168840.100a	38068	65	1205932	Windscreen
90167797.100a	38244	58	209131	Windscreen
90182757.100c	37746	41	12383	TPL
90134263.100a	38010	301	1208559	TPL
90117560.100a	38295	5877	1206480	TPL
90149288.100b	38151	57	1201925	TPL
90182035.100a	37842	304	203366	Windscreen
1007037.100c	37659	715	8264	Damage
20100221.10a	38211	212	1207539	TPL
90139303.102a	38296	97	11806	Damage
90145898.101c	37921	245	206276	Windscreen
90165714.100a	37829	-207	202629	Windscreen
90146051.100a	38186	76	7440	Other
90146406.100b	38115	915	1203448	TPL
90162994.100a	37838	59	202528	TPL
90113937.101a	37885	305	204456	TPL
70207717.100a	38170	527	7356	TPL
90108000.101a	37777	413	200207	TPL
90105374.101b	38129	396	1202840	Windscreen
90193259.100b	38075	999	1205197	TPL
90153376.100a	37674	424	13697	Other
90133831.100b	38343	0	1208205	TPL
90149362.100b	38236	5433	1205864	Damage
90158970.100a	38231	927	13347	TPL
10100078.101a	38148	915	1202396	TPL
90170323.100c	38295	187	1207640	Windscreen
90166995.100a	37945	195	207599	Windscreen
90156709.100a	38295	4679	208350	TPL
90152894.100a	37916	753	205885	TPL
90152956.101b	37854	572	203853	Other
90133465.100a	37622	239	7144	Windscreen
90108691.101a	38220	2260	203055	Theft
90104008.101c	38241	6024	206682	TPL
90121746.100b	38337	712	1202936	TPL
90135273.101b	37783	555	200506	TPL
90107990.101a	37903	897	205398	TPL
90126092.101a	38173	421	1204814	Windscreen
90184936.100a	38266	5978	204941	TPL
90182002.100a	38302	238	7973	Windscreen
90147045.100b	37730	101	11163	Damage
90151712.100b	37994	2130	1209797	TPL
90164481.100a	38133	87	1202721	TPL
90181031.101b	38065	134	1205971	Windscreen
90190072.100a	38134	382	1203147	TPL
90126766.101a	38348	63	10569	Windscreen
90130889.100a	37741	1604	13570	Damage
90147919.100b	38163	748	1201379	TPL
90127139.102b	37962	186	208378	Windscreen
90168958.100a	38339	62	203352	TPL
90168470.100a	38055	1072	1206540	Theft
90180913.100b	37819	226	202231	Windscreen
90182088.101a	38282	897	10773	TPL
10200129.101c	37830	-204	202262	TPL
90110650.101a	38161	1625	1201453	TPL
90110950.102a	37646	97	8189	Damage
90122962.101a	38029	303	1207304	TPL
90105374.101a	37845	388	202840	Windscreen
90126727.101a	38085	2912	1204794	TPL
90115230.102a	37788	202	201276	Windscreen
90191768.100a	38136	763	1202525	Theft
90189267.100a	37950	253	208531	Windscreen
90151913.100b	37868	2237	203557	Damage
90191805.100b	38017	1787	1208890	Theft
90192944.100b	37936	267	206920	TPL
90144928.100a	38170	56	209083	TPL
90185788.100a	37872	897	204209	TPL
90146274.102a	38008	771	1208671	Windscreen
90120966.102a	37786	1177	206489	TPL
90126140.101b	37793	4	200810	TPL
90166398.100a	38037	5201	1206836	TPL
90175893.100a	37691	447	10527	Windscreen
20100157.101a	38164	1493	1201369	TPL
90155668.102a	37990	123	1209536	Windscreen
90159551.101a	38060	45	1206071	TPL
90104142.10b	38071	399	1206257	Windscreen
90108093.101a	37735	423	11614	Windscreen
90191254.100a	37791	276	202419	Windscreen
90180489.100a	37706	73	11493	Windscreen
90108567.102a	38232	74	203296	TPL
90105463.10a	38062	631	1206172	Theft
90184219.100c	38077	7402	1205246	TPL
90138471.100a	37958	195	208571	TPL
1003440.100a	37878	1461	204190	TPL
90180962.100a	37881	94	204484	Windscreen
90184110.101a	38320	77	1209736	Windscreen
90140585.100a	37867	742	203916	Damage
90132310.101a	38312	1793	1203321	Damage
90146795.100a	38113	1457	1203779	TPL
90172630.100b	37803	278	201584	Windscreen
90189819.100b	38097	199	1204399	TPL
90171790.101a	38136	617	1203331	Windscreen
90183912.100d	38019	397	1208512	Windscreen
1009295.100b	38332	915	1208067	TPL
90104498.101b	37916	392	205980	TPL
90145839.100a	37874	237	204963	Windscreen
90124463.101a	37975	351	209126	Windscreen
90147981.100a	38156	343	1201739	Windscreen
1000739.10a	38314	82	204579	Windscreen
90134365.100a	37697	59	11435	Windscreen
90157488.100a	37626	284	7376	Windscreen
90184862.100a	38318	1401	1207778	Damage
90111488.101a	37627	897	7112	TPL
90110456.101a	37823	1268	202023	Damage
90153706.101a	38184	331	12727	TPL
90103478.100a	37807	150	201287	Windscreen
90134628.100a	38119	1143	1203494	TPL
90168279.100a	38243	651	1201659	Damage
90159678.100b	37702	368	11214	Windscreen
90119459.101b	38105	1136	1203760	Theft
90158423.101a	38225	220	1204420	Windscreen
90182572.101a	37954	953	208400	TPL
90156494.100b	37733	1121	11949	TPL
90187953.100a	37838	273	202497	TPL
90134828.100a	38338	8636	207572	TPL
90184879.101a	38182	533	8586	Windscreen
90128194.101a	37923	189	206496	Windscreen
90109714.101a	38218	806	1203305	Theft
90147330.100b	38158	222	1201509	Windscreen
90148418.101a	38174	218	1201798	Windscreen
90148755.100a	37877	897	204126	TPL
90126271.101b	37695	141	11433	Windscreen
90111538.101a	38344	399	207877	Windscreen
90155437.100b	38286	897	207243	TPL
90171859.100a	38251	1630	1206452	TPL
90159460.100a	38204	539	1207264	Theft
90188886.100a	37863	90	204351	Windscreen
90169242.100a	37922	760	206064	TPL
90135407.100a	38096	7525	1204208	Theft
90181682.100a	38197	133	205872	Windscreen
90148186.100a	38296	1342	1209861	TPL
90101634.10a	38032	199	1207242	Windscreen
90178998.100b	37671	68	8722	TPL
90190414.100a	38323	1656	1206535	Damage
90132376.102c	38095	440	1204313	TPL
90147790.100a	37737	1121	11794	TPL
90125960.101c	37691	228	9667	Windscreen
90166371.100a	37790	897	200575	TPL
90167941.100a	37963	402	210446	Windscreen
90106120.101a	38188	348	203379	Windscreen
90173968.101a	38217	258	200302	Windscreen
90139473.100c	38003	450	1209831	Windscreen
90154174.100a	38228	454	8375	TPL
90194017.101a	37665	272	8924	TPL
90151613.100b	37967	269	208459	Windscreen
50200114.10a	37724	1121	11380	TPL
90159855.100a	38115	0	1203789	TPL
90103478.100a	37817	83	203465	Windscreen
90177972.100a	37934	195	207127	TPL
90131440.101a	37846	1412	202902	Damage
90102042.10a	37781	440	200283	Other
90130883.100b	38342	301	1206807	Windscreen
90103747.10a	37999	301	1209120	TPL
90156044.100a	38138	156	1202384	TPL
90152052.100b	37993	915	1209455	TPL
90167664.100a	37724	0	11252	TPL
90145263.100c	37715	143	12655	Windscreen
90111444.10a	38241	276	206895	Windscreen
90130077.100a	38105	183	1204092	Windscreen
90168363.101b	37630	946	7574	Damage
90103478.100a	38167	153	1201287	Windscreen
90125557.100a	37829	239	202252	Windscreen
90132775.100a	38281	104	1208127	Windscreen
90110915.101c	38076	581	1205501	Windscreen
90153795.100b	37818	0	203177	TPL
90150396.100a	38265	346	206834	Windscreen
90147878.100b	38209	197	208759	TPL
90165334.100a	37747	3021	12781	Theft
90168723.100a	37908	897	205961	TPL
90172981.100a	37645	313	7746	Windscreen
90149811.100a	37754	890	12502	TPL
90160803.100c	38224	576	203382	Damage
50100016.10a	37790	199	200811	Windscreen
90133457.100a	38122	235	1204102	Windscreen
90168956.100a	38236	201	210014	Windscreen
90151786.101a	38156	915	1201646	TPL
90148053.100c	37936	4394	207362	Damage
90104878.101a	38104	2139	1203723	TPL
90127337.100a	38297	331	1206498	Windscreen
90144813.100c	37848	483	203044	TPL
40100385.101a	37641	211	7741	Windscreen
90155742.102a	37781	87	200937	Windscreen
90153570.100a	38296	980	206104	Other
90149206.100a	37990	453	1209324	Windscreen
90190076.100a	38136	419	1203040	Windscreen
90141532.101a	38247	68	205525	TPL
90127158.101a	38219	1588	1207187	TPL
90176168.100a	38082	0	1205673	TPL
90126744.101b	38047	124	1206662	Windscreen
90135258.100a	37703	1319	10208	TPL
90163399.100a	38251	1121	13719	TPL
90114546.101a	37669	1121	8869	TPL
90162787.100a	38237	95	207812	Windscreen
90117661.101a	38328	2144	1208568	TPL
90104205.10a	37730	2060	11377	TPL
90132237.100a	37954	300	208745	Windscreen
90158554.100a	37751	1041	12612	TPL
90107853.101a	37842	2	202749	Theft
90155185.102a	37624	145	7991	Windscreen
40200187.100a	37759	106	12474	TPL
90134752.100a	37765	72	12701	TPL
20100120.10b	37744	560	11727	Theft
80200007.10a	38342	5261	10060	Fire
90154997.100a	37950	897	208295	TPL
90162934.100b	38335	1630	1204139	TPL
90187225.102a	38271	1000	11610	Damage
90146795.100a	38001	894	1208903	Theft
90191320.100b	38079	287	1205430	Windscreen
90153369.100a	37663	105	8530	TPL
90147704.100a	38224	8234	10511	Fire
90146093.101a	37971	897	209447	TPL
90167750.100a	37760	1124	12844	TPL
90128799.101b	37678	897	12803	TPL
90124966.101b	37864	68	203753	TPL
90109058.101b	37760	897	12675	TPL
90167981.100a	37808	7530	201203	Theft
90189942.100a	38328	322	11822	Windscreen
90132340.102a	38107	212	1204301	Windscreen
90119184.101b	37905	318	205457	Windscreen
90104975.100a	38247	1143	1208028	TPL
90168398.100a	38058	888	1206024	TPL
90107138.101a	37972	2245	209183	TPL
90165919.100a	37749	354	12335	Windscreen
90150206.100a	38282	156	7214	Windscreen
1003637.100a	38237	142	13017	Windscreen
90154904.102a	37937	1257	207516	Windscreen
90144657.101a	38035	86	1207535	TPL
90194801.100a	37730	263	12001	Windscreen
90194819.100b	38079	261	1207074	Windscreen
90167752.101c	37773	3256	13618	TPL
90150685.100a	37754	317	13665	Windscreen
90180489.100a	38324	542	203068	TPL
90186103.101a	37876	0	204074	TPL
90157581.100b	37667	126	9845	Windscreen
90164564.101a	37888	1096	205518	TPL
90134321.100a	37690	205	12188	Windscreen
90153679.102a	38042	1143	1206658	TPL
90139283.100a	38280	85	208804	Fire
90147700.100a	37745	481	13538	Windscreen
90167662.100a	37628	199	7687	Windscreen
20100433.10a	37955	876	207985	Theft
90111596.101b	38264	2157	200217	TPL
90158065.100a	37794	263	201952	Windscreen
90146070.101b	38074	2191	1205580	TPL
90157303.100a	37622	779	7478	TPL
90134528.100b	38078	915	1205399	TPL
90145697.100a	37739	2149	11525	TPL
90174165.101a	37714	603	10509	TPL
90106254.10a	37659	1059	8257	TPL
90157091.100a	38294	109	9602	Windscreen
90130883.100a	37770	50	13180	TPL
90193857.100a	38002	298	1208933	Windscreen
90105309.101b	38086	198	1206107	Windscreen
1009521.100a	37940	3810	207137	TPL
90165000.100a	37731	232	11724	Windscreen
90126803.101a	37740	147	12170	Windscreen
90131447.100b	38106	310	1203837	Windscreen
90130924.100b	38104	350	1204423	Windscreen
90157489.100a	37665	237	8517	TPL
1002160.100b	38030	91	1207737	Windscreen
90134361.100a	37720	252	10672	TPL
90167813.100a	37790	97	200685	Windscreen
90170435.100b	37955	270	208550	Windscreen
90110669.101a	38220	2904	1209095	TPL
90132913.100a	38225	1555	11243	Theft
90154176.100a	37657	214	8245	TPL
